state_code,county_code,county_name,state_name,geo_center
20,13,Brown,Kansas,"39 49m 35.3961s N, 95 33m 51.1908s W"
72,107,Orocovis,Puerto Rico,"18 12m 53.6547s N, 66 26m 2.35859s W"
47,59,Greene,Tennessee,"36 10m 31.2645s N, 82 50m 44.976s W"
38,67,Pembina,North Dakota,"48 46m 3.0556s N, 97 33m 6.54856s W"
6,65,Riverside,California,"33 44m 37.2482s N, 115 59m 37.8452s W"
19,169,Story,Iowa,"42 2m 10.4694s N, 93 27m 54.1612s W"
17,157,Randolph,Illinois,"38 3m 7.49702s N, 89 49m 30.635s W"
13,11,Banks,Georgia,"34 21m 14.8932s N, 83 29m 50.5686s W"
41,21,Gilliam,Oregon,"45 22m 41.7687s N, 120 12m 38.467s W"
48,185,Grimes,Texas,"30 32m 36.4973s N, 95 59m 7.81073s W"
40,145,Wagoner,Oklahoma,"35 57m 39.9073s N, 95 31m 16.3529s W"
13,105,Elbert,Georgia,"34 7m 0.455825s N, 82 50m 24.3438s W"
47,71,Hardin,Tennessee,"35 11m 55.2339s N, 88 11m 4.14668s W"
13,93,Dooly,Georgia,"32 9m 25.8335s N, 83 47m 55.5607s W"
47,143,Rhea,Tennessee,"35 36m 31.3612s N, 84 55m 27.8259s W"
48,503,Young,Texas,"33 10m 36.1048s N, 98 41m 15.9596s W"
